State,county,Percent _bachelor
US,United States,31.5
AL,Alabama,24.9
AL,Autauga County,27.7
AL,Baldwin County,31.3
AL,Barbour County,12.2
AL,Bibb County,11.5
AL,Blount County,12.6
AL,Bullock County,13.3
AL,Butler County,16.1
AL,Calhoun County,18.0
AL,Chambers County,13.2
AL,Cherokee County,12.9
AL,Chilton County,14.2
AL,Choctaw County,13.0
AL,Clarke County,12.6
AL,Clay County,10.2
AL,Cleburne County,13.7
AL,Coffee County,23.4
AL,Colbert County,18.7
AL,Conecuh County,10.7
AL,Coosa County,11.6
AL,Covington County,14.9
AL,Crenshaw County,15.6
AL,Cullman County,13.7
AL,Dale County,17.0
AL,Dallas County,15.1
AL,DeKalb County,12.7
AL,Elmore County,24.5
AL,Escambia County,12.7
AL,Etowah County,17.7
AL,Fayette County,12.9
AL,Franklin County,12.9
AL,Geneva County,11.1
AL,Greene County,10.1
AL,Hale County,14.1
AL,Henry County,18.0
AL,Houston County,21.0
AL,Jackson County,14.2
AL,Jefferson County,32.4
AL,Lamar County,12.5
AL,Lauderdale County,23.9
AL,Lawrence County,11.7
AL,Lee County,34.1
AL,Limestone County,25.5
AL,Lowndes County,14.1
AL,Macon County,20.7
AL,Madison County,41.7
AL,Marengo County,15.4
AL,Marion County,13.1
AL,Marshall County,19.2
AL,Mobile County,22.9
AL,Monroe County,14.1
AL,Montgomery County,32.1
AL,Morgan County,21.7
AL,Perry County,15.7
AL,Pickens County,13.5
AL,Pike County,23.6
AL,Randolph County,14.9
AL,Russell County,16.5
AL,St. Clair County,16.5
AL,Shelby County,42.1
AL,Sumter County,21.8
AL,Talladega County,14.3
AL,Tallapoosa County,18.3
AL,Tuscaloosa County,30.3
AL,Walker County,11.6
AL,Washington County,11.1
AL,Wilcox County,12.5
AL,Winston County,13.5
AK,Alaska,29.2
AK,Aleutian Islands,
AK,Aleutians East Borough,12.7
AK,Aleutians West Census Area,16.4
AK,Anchorage Municipality,35.3
AK,Bethel Census Area,12.3
AK,Bristol Bay Borough,22.3
AK,Denali Borough,43.5
AK,Dillingham Census Area,19.3
