"","state","county","primary_city","longitude","latitude","estimated_population","name","Value","Category.Range"
"1","NY","Suffolk","Holtsville",-73.04,40.81,384,"new york,suffolk",423.1,"378.1 - 427.2 (645)"
"2","NY","Suffolk","Holtsville",-73.04,40.81,0,"new york,suffolk",423.1,"378.1 - 427.2 (645)"
"3","MA","Hampden","Agawam",-72.61,42.06,14021,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"4","MA","Hampshire","Amherst",-72.52,42.37,16532,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"5","MA","Hampshire","Amherst",-72.52,42.37,0,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"6","MA","Hampshire","Amherst",-72.52,42.37,742,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"7","MA","Worcester","Barre",-72.1,42.42,3935,"massachusetts,worcester",371.4,"93.8 - 378.0 (645)"
"8","MA","Hampshire","Belchertown",-72.4,42.27,12895,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"9","MA","Hampden","Blandford",-72.93,42.18,1153,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"10","MA","Hampden","Bondsville",-72.34,42.2,1055,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"11","MA","Hampden","Brimfield",-72.2,42.11,3312,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"12","MA","Hampden","Chester",-72.98,42.28,1012,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"13","MA","Hampshire","Chesterfield",-72.85,42.4,639,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"14","MA","Hampden","Chicopee",-72.57,42.17,16669,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"15","MA","Hampden","Chicopee",-72.57,42.17,0,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"16","MA","Hampden","Chicopee",-72.57,42.17,24570,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"17","MA","Hampden","Chicopee",-72.57,42.17,509,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"18","MA","Hampden","Chicopee",-72.57,42.17,1713,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"19","MA","Hampshire","Cummington",-72.9,42.46,865,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"20","MA","Hampshire","Easthampton",-72.68,42.26,15525,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"21","MA","Hampden","East Longmeadow",-72.51,42.06,14024,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"22","MA","Berkshire","East Otis",-73.03,42.17,509,"massachusetts,berkshire",383.5,"378.1 - 427.2 (645)"
"23","MA","Hampden","Feeding Hills",-72.67,42.06,10449,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"24","MA","Worcester","Gilbertville",-72.21,42.35,932,"massachusetts,worcester",371.4,"93.8 - 378.0 (645)"
"25","MA","Hampshire","Goshen",-72.8,42.43,489,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"26","MA","Hampshire","Granby",-72.52,42.26,5647,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"27","MA","Hampden","Granville",-72.86,42.06,1787,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"28","MA","Hampshire","Hadley",-72.58,42.35,4327,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
"29","MA","Hampden","Hampden",-72.41,42.06,4700,"massachusetts,hampden",392.8,"378.1 - 427.2 (645)"
"30","MA","Worcester","Hardwick",-72.2,42.35,714,"massachusetts,worcester",371.4,"93.8 - 378.0 (645)"
"31","MA","Hampshire","Hatfield",-72.6,42.37,2161,"massachusetts,hampshire",364.1,"93.8 - 378.0 (645)"
