County,State,Value,Category Range
San Miguel,CO,93.8,93.8 - 378.0 (645)
Kusilvak,AK,98.4,93.8 - 378.0 (645)
Oglala Lakota,SD,119,93.8 - 378.0 (645)
Pitkin,CO,124.5,93.8 - 378.0 (645)
Aleutians East,AK,125.2,93.8 - 378.0 (645)
Summit,CO,161.6,93.8 - 378.0 (645)
Eagle,CO,164.6,93.8 - 378.0 (645)
Aleutians West,AK,172.2,93.8 - 378.0 (645)
Teton,WY,203.3,93.8 - 378.0 (645)
Lake,CO,205.8,93.8 - 378.0 (645)
Ouray,CO,208.4,93.8 - 378.0 (645)
Skagway,AK,210.5,93.8 - 378.0 (645)
Routt,CO,218,93.8 - 378.0 (645)
Grand,CO,221.4,93.8 - 378.0 (645)
Manassas Park,VA,225.3,93.8 - 378.0 (645)
Blaine,ID,231,93.8 - 378.0 (645)
Douglas,CO,233.1,93.8 - 378.0 (645)
Yabucoa,PR,234.5,93.8 - 378.0 (645)
Valley,ID,239.2,93.8 - 378.0 (645)
San Juan,WA,239.9,93.8 - 378.0 (645)
Marin,CA,241.6,93.8 - 378.0 (645)
Vega Alta,PR,242.2,93.8 - 378.0 (645)
Fairfax County,VA,245.9,93.8 - 378.0 (645)
Hatillo,PR,246.2,93.8 - 378.0 (645)
Barranquitas,PR,250.8,93.8 - 378.0 (645)
Ceiba,PR,251.6,93.8 - 378.0 (645)
Gunnison,CO,253.7,93.8 - 378.0 (645)
Collier,FL,254.3,93.8 - 378.0 (645)
Las Piedras,PR,255.2,93.8 - 378.0 (645)
Gurabo,PR,255.4,93.8 - 378.0 (645)
Falls Church,VA,256.6,93.8 - 378.0 (645)
Camuy,PR,256.7,93.8 - 378.0 (645)
Beaufort,SC,256.9,93.8 - 378.0 (645)
Quebradillas,PR,257,93.8 - 378.0 (645)
San Lorenzo,PR,257.5,93.8 - 378.0 (645)
Juncos,PR,258.1,93.8 - 378.0 (645)
Corozal,PR,258.6,93.8 - 378.0 (645)
Toa Alta,PR,259,93.8 - 378.0 (645)
Carolina,PR,261.6,93.8 - 378.0 (645)
Luquillo,PR,261.8,93.8 - 378.0 (645)
Cayey,PR,262.2,93.8 - 378.0 (645)
Arlington,VA,262.6,93.8 - 378.0 (645)
Canóvanas,PR,262.7,93.8 - 378.0 (645)
Loudoun,VA,263,93.8 - 378.0 (645)
Aguas Buenas,PR,263.4,93.8 - 378.0 (645)
Trujillo Alto,PR,263.9,93.8 - 378.0 (645)
Guaynabo,PR,264.7,93.8 - 378.0 (645)
Loiza,PR,265.7,93.8 - 378.0 (645)
Naranjito,PR,266,93.8 - 378.0 (645)
Cidra,PR,266,93.8 - 378.0 (645)
Rio Grande,PR,267.8,93.8 - 378.0 (645)
Humacao,PR,269.2,93.8 - 378.0 (645)
Park,CO,269.9,93.8 - 378.0 (645)
Montgomery,MD,271.8,93.8 - 378.0 (645)
Naguabo,PR,271.8,93.8 - 378.0 (645)
Dakota,MN,273,93.8 - 378.0 (645)
Arecibo,PR,273.3,93.8 - 378.0 (645)
Rincón,PR,273.6,93.8 - 378.0 (645)
Broomfield,CO,273.8,93.8 - 378.0 (645)
Vieques,PR,273.9,93.8 - 378.0 (645)
Morovis,PR,274,93.8 - 378.0 (645)
Costilla,CO,274.5,93.8 - 378.0 (645)
Anoka,MN,275.3,93.8 - 378.0 (645)
Caguas,PR,276.6,93.8 - 378.0 (645)
Mayaguez,PR,277.1,93.8 - 378.0 (645)
Santa Fe,NM,277.1,93.8 - 378.0 (645)
Utuado,PR,277.3,93.8 - 378.0 (645)
Carver,MN,278.3,93.8 - 378.0 (645)
Washington,MN,278.3,93.8 - 378.0 (645)
San Juan,PR,278.8,93.8 - 378.0 (645)
Taos,NM,279.1,93.8 - 378.0 (645)
Stearns,MN,279.3,93.8 - 378.0 (645)
Sarasota,FL,281.2,93.8 - 378.0 (645)
Maricao,PR,281.9,93.8 - 378.0 (645)
Orange,NC,282.7,93.8 - 378.0 (645)
Mono,CA,283.2,93.8 - 378.0 (645)
Boulder,CO,283.3,93.8 - 378.0 (645)
Mora,NM,283.7,93.8 - 378.0 (645)
Toa Baja,PR,284.3,93.8 - 378.0 (645)
Albemarle,VA,284.9,93.8 - 378.0 (645)
Sioux,IA,285.2,93.8 - 378.0 (645)
Patillas,PR,285.4,93.8 - 378.0 (645)
Añasco,PR,286.1,93.8 - 378.0 (645)
Cataño,PR,286.9,93.8 - 378.0 (645)
Ciales,PR,287.2,93.8 - 378.0 (645)
San Juan,CO,287.3,93.8 - 378.0 (645)
Chatham,NC,287.4,93.8 - 378.0 (645)
Guayama,PR,287.4,93.8 - 378.0 (645)
Dorado,PR,287.8,93.8 - 378.0 (645)
Aguada,PR,288,93.8 - 378.0 (645)
Florida,PR,288.3,93.8 - 378.0 (645)
Hormigueros,PR,288.3,93.8 - 378.0 (645)
Lincoln,SD,288.5,93.8 - 378.0 (645)
Cherry,NE,288.9,93.8 - 378.0 (645)
Comerio,PR,289.1,93.8 - 378.0 (645)
Isabela,PR,289.1,93.8 - 378.0 (645)
Barceloneta,PR,289.3,93.8 - 378.0 (645)
Hennepin,MN,289.6,93.8 - 378.0 (645)
Clear Creek,CO,290.4,93.8 - 378.0 (645)
Scott,MN,290.6,93.8 - 378.0 (645)
Salinas,PR,291.1,93.8 - 378.0 (645)
Prince William,VA,293.1,93.8 - 378.0 (645)
Bayamón,PR,293.2,93.8 - 378.0 (645)
Presidio,TX,293.8,93.8 - 378.0 (645)
Washington,UT,294.5,93.8 - 378.0 (645)
Manati,PR,295.7,93.8 - 378.0 (645)
Cabo Rojo,PR,296.6,93.8 - 378.0 (645)
Sherburne,MN,296.7,93.8 - 378.0 (645)
Monterey,CA,297,93.8 - 378.0 (645)
Alexandria,VA,297,93.8 - 378.0 (645)
Garfield,CO,297.6,93.8 - 378.0 (645)
Morrison,MN,298.5,93.8 - 378.0 (645)
San Sebastian,PR,298.5,93.8 - 378.0 (645)
Kandiyohi,MN,298.6,93.8 - 378.0 (645)
Los Alamos,NM,298.7,93.8 - 378.0 (645)
Moca,PR,298.8,93.8 - 378.0 (645)
Hubbard,MN,298.9,93.8 - 378.0 (645)
San Francisco,CA,299.3,93.8 - 378.0 (645)
Santa Clara,CA,299.5,93.8 - 378.0 (645)
Lee,FL,299.7,93.8 - 378.0 (645)
San Mateo,CA,299.9,93.8 - 378.0 (645)
San Germán,PR,300.3,93.8 - 378.0 (645)
Custer,ID,300.9,93.8 - 378.0 (645)
Orocovis,PR,301.1,93.8 - 378.0 (645)
Jackson,CO,301.6,93.8 - 378.0 (645)
Middlesex,MA,301.8,93.8 - 378.0 (645)
Arroyo,PR,301.8,93.8 - 378.0 (645)
Fajardo,PR,302,93.8 - 378.0 (645)
Santa Cruz,CA,302.2,93.8 - 378.0 (645)
Kalawao,HI,302.8,93.8 - 378.0 (645)
St. Johns,FL,304.3,93.8 - 378.0 (645)
Howard,MD,305,93.8 - 378.0 (645)
Vega Baja,PR,305.3,93.8 - 378.0 (645)
Wright,MN,306.1,93.8 - 378.0 (645)
Suffolk,MA,306.3,93.8 - 378.0 (645)
Chelan,WA,308.5,93.8 - 378.0 (645)
Benton,OR,309,93.8 - 378.0 (645)
Todd,MN,309.5,93.8 - 378.0 (645)
Larimer,CO,309.6,93.8 - 378.0 (645)
Maui,HI,310.2,93.8 - 378.0 (645)
Kearny,KS,310.3,93.8 - 378.0 (645)
Williamsburg,VA,310.4,93.8 - 378.0 (645)
Charlotte,FL,311.2,93.8 - 378.0 (645)
King,WA,311.3,93.8 - 378.0 (645)
Sibley,MN,311.5,93.8 - 378.0 (645)
Chaffee,CO,311.9,93.8 - 378.0 (645)
York,VA,312.2,93.8 - 378.0 (645)
Aguadilla,PR,312.6,93.8 - 378.0 (645)
Scott,KS,312.7,93.8 - 378.0 (645)
Madison,MT,312.7,93.8 - 378.0 (645)
Cook,MN,312.8,93.8 - 378.0 (645)
Norfolk,MA,313.1,93.8 - 378.0 (645)
Cass,ND,313.4,93.8 - 378.0 (645)
Dane,WI,313.6,93.8 - 378.0 (645)
Washington,OR,313.9,93.8 - 378.0 (645)
Olmsted,MN,314.2,93.8 - 378.0 (645)
Arapahoe,CO,314.2,93.8 - 378.0 (645)
Lane,KS,314.9,93.8 - 378.0 (645)
Lemhi,ID,314.9,93.8 - 378.0 (645)
Crow Wing,MN,315.2,93.8 - 378.0 (645)
Pinal,AZ,315.5,93.8 - 378.0 (645)
San Juan,UT,315.5,93.8 - 378.0 (645)
Gilpin,CO,315.7,93.8 - 378.0 (645)
Culebra,PR,316.2,93.8 - 378.0 (645)
Maunabo,PR,316.2,93.8 - 378.0 (645)
Brown,MN,316.4,93.8 - 378.0 (645)
Lake,IL,316.6,93.8 - 378.0 (645)
Finney,KS,316.8,93.8 - 378.0 (645)
Rio Blanco,CO,317,93.8 - 378.0 (645)
Kauai,HI,317,93.8 - 378.0 (645)
Martin,FL,317.4,93.8 - 378.0 (645)
Plymouth,IA,318,93.8 - 378.0 (645)
Glades,FL,318.5,93.8 - 378.0 (645)
Waukesha,WI,318.8,93.8 - 378.0 (645)
Dolores,CO,318.9,93.8 - 378.0 (645)
St. Croix,WI,319.2,93.8 - 378.0 (645)
Teller,CO,319.4,93.8 - 378.0 (645)
Rappahannock,VA,319.5,93.8 - 378.0 (645)
Thomas,NE,319.6,93.8 - 378.0 (645)
Travis,TX,319.7,93.8 - 378.0 (645)
Summit,UT,319.8,93.8 - 378.0 (645)
Camas,ID,319.8,93.8 - 378.0 (645)
Union,SD,320,93.8 - 378.0 (645)
Hinsdale,CO,320.2,93.8 - 378.0 (645)
Stanley,SD,320.5,93.8 - 378.0 (645)
Chittenden,VT,321.7,93.8 - 378.0 (645)
Colfax,NM,322.3,93.8 - 378.0 (645)
Dukes,MA,323.1,93.8 - 378.0 (645)
Adams,ID,323.3,93.8 - 378.0 (645)
Aibonito,PR,323.7,93.8 - 378.0 (645)
Cass,MN,323.8,93.8 - 378.0 (645)
Kendall,IL,324,93.8 - 378.0 (645)
Hunterdon,NJ,324.1,93.8 - 378.0 (645)
Leelanau,MI,324.2,93.8 - 378.0 (645)
Mills,IA,324.8,93.8 - 378.0 (645)
Ward,ND,324.9,93.8 - 378.0 (645)
Fayette,GA,325.4,93.8 - 378.0 (645)
Collin,TX,325.4,93.8 - 378.0 (645)
Jeff Davis,TX,325.9,93.8 - 378.0 (645)
Manatee,FL,326.2,93.8 - 378.0 (645)
Lyon,MN,326.3,93.8 - 378.0 (645)
Indian River,FL,326.4,93.8 - 378.0 (645)
Custer,CO,326.5,93.8 - 378.0 (645)
Las Marias,PR,326.5,93.8 - 378.0 (645)
Newport,RI,326.6,93.8 - 378.0 (645)
Watauga,NC,326.7,93.8 - 378.0 (645)
Fort Bend,TX,327.2,93.8 - 378.0 (645)
Klickitat,WA,327.4,93.8 - 378.0 (645)
Lajas,PR,328,93.8 - 378.0 (645)
Williamson,TX,328.5,93.8 - 378.0 (645)
Ramsey,MN,328.8,93.8 - 378.0 (645)
Contra Costa,CA,328.8,93.8 - 378.0 (645)
York,ME,328.9,93.8 - 378.0 (645)
Columbia,GA,329.2,93.8 - 378.0 (645)
Polk,OR,329.5,93.8 - 378.0 (645)
Becker,MN,329.6,93.8 - 378.0 (645)
Fairfield,CT,329.7,93.8 - 378.0 (645)
Transylvania,NC,330,93.8 - 378.0 (645)
Brewster,TX,330,93.8 - 378.0 (645)
Bergen,NJ,330.1,93.8 - 378.0 (645)
Saguache,CO,330.1,93.8 - 378.0 (645)
Denali,AK,330.1,93.8 - 378.0 (645)
Nicollet,MN,330.2,93.8 - 378.0 (645)
Rio Arriba,NM,330.5,93.8 - 378.0 (645)
Palm Beach,FL,330.5,93.8 - 378.0 (645)
Matanuska-Susitna,AK,330.8,93.8 - 378.0 (645)
New York,NY,330.8,93.8 - 378.0 (645)
Coconino,AZ,331.1,93.8 - 378.0 (645)
Meeker,MN,331.6,93.8 - 378.0 (645)
DeSoto,FL,331.7,93.8 - 378.0 (645)
Wabasha,MN,331.8,93.8 - 378.0 (645)
Boise,ID,332.1,93.8 - 378.0 (645)
Santa Cruz,AZ,332.3,93.8 - 378.0 (645)
Carbon,MT,332.4,93.8 - 378.0 (645)
Gallatin,MT,332.6,93.8 - 378.0 (645)
Rice,MN,332.6,93.8 - 378.0 (645)
Idaho,ID,332.6,93.8 - 378.0 (645)
Teton,ID,332.6,93.8 - 378.0 (645)
Adjuntas,PR,332.6,93.8 - 378.0 (645)
Park,MT,332.7,93.8 - 378.0 (645)
Durham,NC,333.3,93.8 - 378.0 (645)
Haines,AK,333.3,93.8 - 378.0 (645)
Alameda,CA,333.4,93.8 - 378.0 (645)
Essex,MA,333.9,93.8 - 378.0 (645)
Dallas,IA,334.1,93.8 - 378.0 (645)
Sioux,NE,334.2,93.8 - 378.0 (645)
Douglas,NV,334.4,93.8 - 378.0 (645)
Ziebach,SD,334.5,93.8 - 378.0 (645)
Champaign,IL,334.9,93.8 - 378.0 (645)
Jefferson,WA,335,93.8 - 378.0 (645)
James City,VA,335.4,93.8 - 378.0 (645)
Denton,TX,335.6,93.8 - 378.0 (645)
Elbert,CO,335.8,93.8 - 378.0 (645)
Anchorage,AK,335.9,93.8 - 378.0 (645)
Story,IA,335.9,93.8 - 378.0 (645)
Clay,MN,336.1,93.8 - 378.0 (645)
Sumter,FL,336.2,93.8 - 378.0 (645)
Whatcom,WA,336.2,93.8 - 378.0 (645)
